hidden_size,num_layers,dropout,lr,mean_val_acc,mean_val_f1,mean_val_loss,mean_val_auc
64,1,0.3,0.001,0.4064814814814815,0.3843263230047878,1.0840495907849181,0.5440331435736395
32,1,0.3,0.0005,0.4037037037037037,0.3369200010434877,1.0825768699836897,0.5335200359530906
32,2,0.2,0.0005,0.39444444444444443,0.38111771709054215,1.0887562096728798,0.5632951522369177
32,2,0.3,0.001,0.38888888888888884,0.35743881597925914,1.0834627416066014,0.5589225975005375
64,1,0.2,0.001,0.38888888888888884,0.3600836664430665,1.0896483852297258,0.5399820805742019
64,2,0.3,0.001,0.3879629629629629,0.35766343021186625,1.0870842979262159,0.5434115091629151
64,2,0.2,0.0005,0.38703703703703707,0.3587806715001122,1.0829993494012349,0.5562747493156405
64,2,0.3,0.0005,0.38055555555555554,0.3592000864622718,1.0879787913021348,0.5462101006289175
32,2,0.3,0.0005,0.3787037037037037,0.3503071972987965,1.0893316396981076,0.5457426412669947
64,1,0.2,0.0005,0.37777777777777777,0.3561906106252027,1.0941727525046854,0.538823194636917
32,1,0.2,0.0005,0.375,0.36472778054785965,1.0858944248514322,0.5524545237125813
32,2,0.2,0.001,0.37407407407407406,0.3615442871485861,1.0984948092654214,0.5357261386060256
64,1,0.3,0.0005,0.37222222222222223,0.35489344806501183,1.0907371270971455,0.5351586163992916
32,1,0.2,0.001,0.36018518518518516,0.34555719851110595,1.0956311773508647,0.5282169448482705
32,1,0.3,0.001,0.35462962962962963,0.34700087974207844,1.0918582658812492,0.533803489556225
64,2,0.2,0.001,0.3435185185185185,0.32270200269355054,1.0907270344758448,0.5374860949379877
